@timestamp,cores,user_pct,idle_pct,system_pct,actual_used_bytes,actual_used_pct,swap_free,swap_total,free,swap,bytes_total,bytes_total_norm,swap_norm,out_bytes,out_bytes_norm,in_bytes,in_bytes_norm,host
2023-03-01 00:00:00,4,0.01975,0.9542375,0.0260125,,,,,,,,,,13503407332.5,0.0166664805803212,3965484422.5,0.0280131649665597,DEVELOP
2023-03-01 00:00:00,8,0.0107375,0.967375,0.021875,10641145856.0,0.6194000000000001,7645052928.0,19728990208.0,6537707520.0,0.6124964913358834,17178853376.0,0.2616535660708856,0.7672087450304007,520561845652.3333,0.6424996060468048,91659945579.66669,0.6475085772068977,PREPRODUCCION
2023-03-01 00:00:00,4,0.0160375,0.965,0.0189625,5764923392.0,0.2237,23592894464.0,29526859776.0,20003840000.0,0.2009683846171559,25768763392.0,0.3924877107440357,0.2517315679909138,0.0,0.0,0.0,0.0,QASERVER
2023-03-01 00:00:00,4,,,,,,,,,,,,,0.0,0.0,0.0,0.0,PRODUCCION
2023-03-01 00:00:00,16,0.00125,0.9974375,0.00125,6236368896.0,0.09265,34355539968.0,34355539968.0,52067119104.0,0.0,58303488000.0,0.8880287418299858,0.0,4991092910.666667,0.0061602194928977,1474654339.0,0.0104173238035358,PRUEBAS
2023-03-01 00:10:00,4,,,,5756231680.0,0.2234,23592656896.0,29526859776.0,20012531712.0,0.2009764304439659,25768763392.0,0.3924877107440357,0.2517416461363023,868755163.25,0.0010722546318003,663838347.0,0.004689518642445,QASERVER
2023-03-01 00:10:00,16,,,,6248181760.0,0.0928,34355539968.0,34355539968.0,52054446080.0,0.0,58302627840.0,0.8880156406103371,0.0,7487754380.75,0.0092417054380511,2212379336.0,0.0156287960573815,PRUEBAS
2023-03-01 00:10:00,8,0.009328125,0.9709375,0.019734375,10694938624.0,0.6226,7649955840.0,19728990208.0,6483914752.0,0.6122479782620611,17178853376.0,0.2616535660708856,0.7668974593231553,0.0,0.0,0.0,0.0,PREPRODUCCION
2023-03-01 00:10:00,4,0.075925,0.866975,0.057125,6060875776.0,0.7057,2675781632.0,10862071808.0,2528043008.0,0.7536582634236255,8588918784.0,0.130819047077174,0.9440269758965002,,,,,DEVELOP
2023-03-01 00:10:00,4,0.0121333333333333,0.9777083333333332,0.0101666666666666,,,,,,,,,,4188847420.0,0.0051700539323383,1124619652.5,0.0079445920078173,PRODUCCION
