,@timestamp,@version,event,host,system
0,2023-03-13T07:04:31.079Z,1,{'dataset': 'system.cpu'},{'name': 'QASERVER'},"{'cpu': {'cores': 4, 'idle': {'pct': 3.8109}, 'user': {'pct': 0.0813}, 'system': {'pct': 0.1078}}}"
1,2023-03-13T07:13:31.085Z,1,{'dataset': 'system.cpu'},{'name': 'QASERVER'},"{'cpu': {'cores': 4, 'idle': {'pct': 3.7359}, 'user': {'pct': 0.1422}, 'system': {'pct': 0.12190000000000001}}}"
2,2023-03-13T08:16:41.112Z,1,{'dataset': 'system.cpu'},{'name': 'QASERVER'},"{'cpu': {'cores': 4, 'idle': {'pct': 3.8563}, 'user': {'pct': 0.0844}, 'system': {'pct': 0.059300000000000005}}}"
3,2023-03-13T07:57:51.111Z,1,{'dataset': 'system.cpu'},{'name': 'QASERVER'},"{'cpu': {'cores': 4, 'idle': {'pct': 3.9766}, 'user': {'pct': 0.0078000000000000005}, 'system': {'pct': 0.015600000000000001}}}"
4,2023-03-13T10:28:11.191Z,1,{'dataset': 'system.cpu'},{'name': 'QASERVER'},"{'cpu': {'cores': 4, 'idle': {'pct': 3.8890000000000002}, 'user': {'pct': 0.0688}, 'system': {'pct': 0.0422}}}"
5,2023-03-13T07:54:41.098Z,1,{'dataset': 'system.cpu'},{'name': 'QASERVER'},"{'cpu': {'cores': 4, 'idle': {'pct': 3.9266}, 'user': {'pct': 0.0281}, 'system': {'pct': 0.0453}}}"
6,2023-03-13T07:57:11.100Z,1,{'dataset': 'system.cpu'},{'name': 'QASERVER'},"{'cpu': {'cores': 4, 'idle': {'pct': 3.9672}, 'user': {'pct': 0.0187}, 'system': {'pct': 0.014100000000000001}}}"
7,2023-03-13T10:54:41.207Z,1,{'dataset': 'system.cpu'},{'name': 'QASERVER'},"{'cpu': {'cores': 4, 'idle': {'pct': 3.7546}, 'user': {'pct': 0.12350000000000001}, 'system': {'pct': 0.12190000000000001}}}"
8,2023-03-13T10:39:41.198Z,1,{'dataset': 'system.cpu'},{'name': 'QASERVER'},"{'cpu': {'cores': 4, 'idle': {'pct': 3.8312}, 'user': {'pct': 0.0641}, 'system': {'pct': 0.1047}}}"
9,2023-03-13T10:35:21.209Z,1,{'dataset': 'system.cpu'},{'name': 'QASERVER'},"{'cpu': {'cores': 4, 'idle': {'pct': 3.8706}, 'user': {'pct': 0.0717}, 'system': {'pct': 0.0577}}}"
10,2023-03-13T10:57:31.222Z,1,{'dataset': 'system.cpu'},{'name': 'QASERVER'},"{'cpu': {'cores': 4, 'idle': {'pct': 3.9062}, 'user': {'pct': 0.0391}, 'system': {'pct': 0.054700000000000006}}}"
