,out_bytes,out_bytes_norm,in_bytes,in_bytes_norm,host
0,0,0.0,0,0.0,DEVELOP
1,0,0.0,0,0.0,QASERVER
4,0,0.0,0,0.0,PRODUCCION
10,0,0.0,0,0.0,PRODUCCION
13,0,0.0,0,0.0,PRUEBAS
15,0,0.0,0,0.0,DEVELOP
17,171518980513,0.21169603252627112,24613998541,0.17387938727067181,PRODUCCION
20,0,0.0,0,0.0,DEVELOP
22,0,0.0,0,0.0,PREPRODUCCION
24,0,0.0,0,0.0,PREPRODUCCION
25,0,0.0,0,0.0,PRODUCCION
28,28003054932,0.03456256333840741,8163662149,0.05767013311504104,DEVELOP
32,0,0.0,0,0.0,PREPRODUCCION
33,1923767978,0.0023743963917323987,703855549,0.0049722100772583416,PRUEBAS
35,0,0.0,0,0.0,DEVELOP
37,0,0.0,0,0.0,PREPRODUCCION
40,0,0.0,0,0.0,PREPRODUCCION
43,0,0.0,0,0.0,PRODUCCION
44,699165697,0.0008629400879755509,104791980,0.0007402765236590535,PREPRODUCCION
45,0,0.0,0,0.0,PREPRODUCCION
47,313518650017,0.3869580738707865,44372793198,0.3134604107457225,PRODUCCION
48,2840317678,0.0035056410768559668,646313279,0.004565717217794758,DEVELOP
49,15266,1.884194753770187e-08,15266,1.0784280829677148e-07,PRUEBAS
50,0,0.0,0,0.0,DEVELOP
52,0,0.0,0,0.0,PRUEBAS
53,2169385977,0.0026775485895231305,1650178546,0.011657270312571931,QASERVER
54,0,0.0,0,0.0,PRUEBAS
55,0,0.0,0,0.0,PREPRODUCCION
58,0,0.0,0,0.0,DEVELOP
62,70933527823,0.08754918183578421,14640569541,0.10342461249610996,PRODUCCION
64,4953552347,0.006113885329977332,1791029933,0.012652279426064356,PRUEBAS
67,80936439771,0.09989520189005299,16380478301,0.11571575928364784,PRODUCCION
68,0,0.0,0,0.0,QASERVER
72,0,0.0,0,0.0,PRUEBAS
74,0,0.0,0,0.0,PRUEBAS
75,0,0.0,0,0.0,DEVELOP
76,6037558656,0.007451812095647176,2168160229,0.015316421324035842,PRUEBAS
77,0,0.0,0,0.0,PREPRODUCCION
78,0,0.0,0,0.0,PRUEBAS
79,4231165163,0.005222284293501754,1515302802,0.010704474622536791,PRUEBAS
80,0,0.0,0,0.0,DEVELOP
85,0,0.0,0,0.0,PRUEBAS
86,4238339019,0.0052311385721860865,3144402018,0.02221283532262252,QASERVER
90,4261327371,0.005259511775537471,3159390930,0.022318720712599802,QASERVER
91,0,0.0,0,0.0,PRUEBAS
93,0,0.0,0,0.0,QASERVER
95,844648344,0.001042500968521863,168820803,0.0011925920014696726,PREPRODUCCION
96,0,0.0,0,0.0,PRUEBAS
97,0,0.0,0,0.0,PREPRODUCCION
98,3454971578,0.004264273104737786,689051805,0.004867632759934453,PREPRODUCCION
100,0,0.0,0,0.0,PREPRODUCCION
103,0,0.0,0,0.0,PRUEBAS
104,1654496088,0.002042049554004256,607127837,0.004288901541806925,PRUEBAS
105,7537007745,0.009302496038421502,1579502569,0.011157997691138809,DEVELOP
114,0,0.0,0,0.0,PRODUCCION
115,0,0.0,0,0.0,PREPRODUCCION
120,0,0.0,0,0.0,PRUEBAS
121,35178722887,0.04341907841479143,7592760763,0.05363714420329211,PRODUCCION
123,0,0.0,0,0.0,DEVELOP
124,0,0.0,0,0.0,PRUEBAS
125,3685012,4.548198793384111e-06,5460225,3.8572382938047885e-05,PRUEBAS
126,962960073,0.001188526344580608,359437160,0.0025391531993066933,PRUEBAS
129,163885209038,0.20227410657011005,25926080528,0.18314825967953385,PRODUCCION
130,13304,1.642036355571765e-08,13304,9.398275393555926e-08,PRUEBAS
131,0,0.0,0,0.0,PREPRODUCCION
134,0,0.0,0,0.0,DEVELOP
135,2015569673,0.0024877019544902994,736257848,0.0052011079496172875,PRUEBAS
141,5055446025,0.006239646848076342,4421133445,0.03123198261257565,QASERVER
142,0,0.0,0,0.0,DEVELOP
144,0,0.0,0,0.0,PREPRODUCCION
145,5395389232,0.006659219235872237,4962417616,0.03505574817573757,QASERVER
146,15047806609,0.018572643959403997,3933868804,0.02778982440026344,PREPRODUCCION
147,5461797505,0.006741183155427811,1216240556,0.008591824782095294,DEVELOP
150,0,0.0,0,0.0,PRUEBAS
152,0,0.0,0,0.0,PREPRODUCCION
157,1390064512,0.0017156768380142244,272464560,0.0019247571932231226,DEVELOP
158,3752849145,0.004631926287632602,2846174912,0.020106085118164314,QASERVER
159,0,0.0,0,0.0,QASERVER
